SPCD,hw_sw,fia_wood_c
6103,hardwood,47.48
6106,hardwood,47.48
6107,hardwood,47.48
6108,hardwood,46.605
6109,hardwood,46.617285
6111,hardwood,47.48
6114,hardwood,47.48
6118,hardwood,47.55
6120,hardwood,47.48
6124,hardwood,47.48
6125,hardwood,47.48
6127,hardwood,47.48
6128,hardwood,47.48
6129,hardwood,47.48
6130,hardwood,47.55
6131,hardwood,47.48
6135,hardwood,46.955
6137,hardwood,47.48
6138,hardwood,47.115195
6139,hardwood,46.955
6142,hardwood,47.115195
6143,hardwood,47.115195
6144,hardwood,47.115195
6145,hardwood,47.115195
6146,hardwood,47.48
6147,hardwood,47.48
6148,hardwood,47.025
6149,hardwood,47.48
6150,hardwood,47.48
6151,hardwood,47.48
6152,hardwood,47.48
6154,softwood,47.48
6155,softwood,47.865
6156,softwood,47.865
6157,softwood,47.48
6158,softwood,47.74089
6159,hardwood,46.40704
6160,hardwood,47.48
6161,hardwood,47.13
6162,hardwood,47.48
6163,hardwood,47.48
6164,hardwood,47.48
6165,hardwood,47.48
6166,hardwood,47.13
6167,hardwood,47.62
6169,hardwood,47.62
6171,hardwood,47.48
6173,hardwood,47.48
6175,hardwood,47.606
6176,hardwood,47.606
6177,hardwood,47.375
6178,hardwood,47.606
6179,hardwood,47.08506
6180,hardwood,47.27
6181,hardwood,47.725
6184,hardwood,46.9025
6185,hardwood,46.92
6186,hardwood,46.92
6187,hardwood,46.92
6188,hardwood,46.92
6189,hardwood,46.92
6190,hardwood,46.92
6193,hardwood,47.025
6197,hardwood,47.83
6198,hardwood,47.48
6199,hardwood,47.34
6200,hardwood,47.445
6203,hardwood,42.644
6205,hardwood,47.025
6206,hardwood,47.48
6208,hardwood,47.27
6212,softwood,42.35
6213,hardwood,47.025
6215,hardwood,47.55
6216,hardwood,47.48
6217,hardwood,47.48
6218,hardwood,47.48
6219,hardwood,47.48
6220,hardwood,47.48
6221,hardwood,39.523
6222,hardwood,47.657625
6223,hardwood,47.657625
6224,hardwood,47.48
6225,hardwood,46.8892
6226,hardwood,47.48
6227,hardwood,47.48
6228,hardwood,47.48
6229,hardwood,47.48
6230,hardwood,46.8892
6231,hardwood,47.48
6232,hardwood,47.48
6233,hardwood,47.48
6234,hardwood,46.5
6235,hardwood,47.48
6236,hardwood,44.7
6237,hardwood,47.280955
6238,hardwood,47.48
6239,hardwood,48.18
6240,hardwood,47.48
6241,hardwood,47.40615
6242,hardwood,47.025
6243,hardwood,47.025
6244,hardwood,47.025
6245,hardwood,47.025
6246,hardwood,47.025
6247,hardwood,47.48
6248,hardwood,47.55
6250,hardwood,48.026
6251,hardwood,47.48
6252,hardwood,47.48
6253,hardwood,47.48
6255,hardwood,47.48
6257,hardwood,47.48
6258,hardwood,47.48
6259,hardwood,47.48
6260,hardwood,48.565
6262,hardwood,48.285
6264,hardwood,47.76
6266,hardwood,44.73
6267,hardwood,46.71
6268,hardwood,46.71
6269,hardwood,46.64
6270,hardwood,47.48
6272,hardwood,47.48
6273,hardwood,47.48
6274,hardwood,47.48
6275,hardwood,47.48
6277,hardwood,47.865
6278,hardwood,47.865
6279,hardwood,47.865
6280,hardwood,47.865
6283,hardwood,47.48
6284,hardwood,47.48
6286,hardwood,48.32
6294,hardwood,47.48
6295,hardwood,47.48
6297,hardwood,47.48
6299,hardwood,47.55
6303,hardwood,47.48
6304,hardwood,47.48
6306,hardwood,47.48
6308,hardwood,47.6598932
6311,hardwood,47.48
6313,hardwood,47.48
6315,hardwood,47.48
6316,hardwood,47.48
6317,hardwood,47.48
6318,hardwood,45.9288
6319,hardwood,47.48
6320,hardwood,47.48
6325,hardwood,47.48
6326,hardwood,47.48
6328,hardwood,47.48
6329,hardwood,47.48
